sampleNum,Bus.lax,Bus.lay,Bus.laz,Bus.rx,Bus.ry,Bus.rz,Node01.lax,Node01.lay,Node01.laz,Node01.rx,Node01.ry,Node01.rz,Node02.lax,Node02.lay,Node02.laz,Node02.rx,Node02.ry,Node02.rz,Node03.lax,Node03.lay,Node03.laz,Node03.rx,Node03.ry,Node03.rz,Node04.lax,Node04.lay,Node04.laz,Node04.rx,Node04.ry,Node04.rz,Node05.lax,Node05.lay,Node05.laz,Node05.rx,Node05.ry,Node05.rz
2735,0.0,0.0,0.0,0.0,0.0,0.0,-0.04730384,0.08637185,0.12050689,2.29690957,0.45299,1.5608083,-0.0007605,0.00044548,-0.00029137,-2.91633129,-0.34705165,-3.03879619,-0.15477179,-0.00332934,-0.45013836,-1.97792292,0.3915731,1.65754509,-0.00015356,0.00054367,0.00032921,2.81950641,-0.49082401,-2.96579003,9.698e-05,-0.00030916,0.00078187,1.16472518,-1.36553872,2.10592389
2736,0.0,0.0,0.0,0.0,0.0,0.0,-0.04869547,0.07702805,0.14085615,2.29694533,0.45412233,1.56076586,-0.00016055,0.00064924,-0.00077329,-2.91631699,-0.34705833,-3.03879547,-0.14460258,-0.01393907,-0.43798256,-1.97759974,0.38712516,1.65835845,-0.00016148,-8.103e-05,-0.00029442,2.81951237,-0.49081865,-2.96579099,-0.00014735,0.00021909,0.00065359,1.16482031,-1.36554313,2.1058228
2737,0.0,0.0,0.0,0.0,0.0,0.0,-0.05948259,0.06250305,0.15577275,2.29356766,0.45670772,1.56088853,-0.00010087,-0.00052086,0.00012804,-2.91627812,-0.34706339,-3.03880453,-0.14573637,-0.02271845,-0.42142287,-1.97644806,0.38043007,1.65938771,-0.00038401,-0.00048559,0.00039061,2.81951356,-0.49081013,-2.96578026,0.0002591,8.623e-05,0.00071679,1.16481245,-1.36554217,2.10581684
2738,0.0,0.0,0.0,0.0,0.0,0.0,-0.07288384,0.04496679,0.15331709,2.29113388,0.45973516,1.56253731,0.00018199,-0.0001169,-9.487e-05,-2.91626096,-0.34705731,-3.03881216,-0.13538827,-0.03168033,-0.40562516,-1.97443175,0.37170285,1.66063678,-0.00022753,-8.506e-05,0.00040279,2.81951952,-0.4908047,-2.96578121,0.00023495,0.0001194,0.00088578,1.16489112,-1.36553252,2.10574341
2739,0.0,0.0,0.0,0.0,0.0,0.0,-0.08609167,0.02586075,0.12501569,2.28496027,0.46547434,1.56347406,-0.00013453,0.00046681,-0.00078541,-2.91625929,-0.34705573,-3.03880763,-0.11506158,-0.03727569,-0.38536385,-1.97157335,0.36097139,1.66220546,-0.00013022,-0.00056555,3.48e-06,2.81950808,-0.49081388,-2.96578932,0.00067955,-0.00026579,0.00060813,1.16484785,-1.36552644,2.10579467
2740,0.0,0.0,0.0,0.0,0.0,0.0,-0.09383408,0.00573406,0.08318638,2.28050399,0.47154659,1.56536961,-0.00019438,0.00054566,-0.00036939,-2.91625643,-0.34705201,-3.03880405,-0.09629799,-0.0359261,-0.36316264,-1.96796215,0.34835252,1.66422677,-0.00021305,0.00010306,0.00046915,2.81950331,-0.49080846,-2.96579051,0.0003074,-0.00031577,0.00056985,1.16499949,-1.3655349,2.10564685
2741,0.0,0.0,0.0,0.0,0.0,0.0,-0.09907859,-0.01137231,0.03917448,2.27533722,0.47877958,1.56681871,-5.884e-05,-0.00018733,-0.00022365,-2.91624022,-0.34705031,-3.03881097,-0.08481298,-0.01773787,-0.34000462,-1.96362948,0.33392936,1.66676509,0.00014436,-0.00051012,0.00051228,2.81952214,-0.49082735,-2.96579432,0.00019349,0.00018798,0.00125599,1.16490424,-1.36553681,2.10572863
2742,0.0,0.0,0.0,0.0,0.0,0.0,-0.10424466,-0.0242747,0.00648003,2.27123094,0.48569039,1.56837177,7.21e-05,0.00042924,-0.000233,-2.91623664,-0.34705693,-3.03881001,-0.07968063,0.0083615,-0.33281374,-1.95891678,0.31773829,1.66977274,-0.0003461,0.00044844,-4.668e-05,2.81950855,-0.49083877,-2.96577644,0.00020518,0.00045478,0.00061804,1.16476381,-1.36552012,2.1058681
2743,0.0,0.0,0.0,0.0,0.0,0.0,-0.11167169,-0.02932816,-0.01173585,2.26993918,0.49167654,1.57015967,-0.0002841,3.174e-05,-0.00083462,-2.91623688,-0.34705809,-3.03883076,-0.08781271,0.03074758,-0.3224225,-1.954018,0.29927942,1.67360723,2.312e-05,-0.00028388,0.0004194,2.81950784,-0.49083921,-2.9657619,0.00018722,0.00048692,0.00081287,1.16474843,-1.3655293,2.1058805
2744,0.0,0.0,0.0,0.0,0.0,0.0,-0.11882026,-0.03008687,-0.01134503,2.26807261,0.49722075,1.57110095,8.487e-05,1.35e-05,-0.00034661,-2.91621518,-0.34707743,-3.03882146,-0.10133982,0.03012052,-0.29731208,-1.94869614,0.27821374,1.67856646,-0.00076729,0.00012931,0.00032371,2.81950855,-0.49083036,-2.96575165,-0.00034072,0.00019055,0.00060718,1.16481686,-1.36552942,2.10582852
